k,m,C,score_mean,score_std
3,0,0.1,0.6015,0.0202
3,0,1.0,0.6125,0.0096
3,0,10.0,0.6090,0.0233
3,1,0.1,0.5895,0.0043
3,1,1.0,0.5970,0.0203
3,1,10.0,0.6075,0.0221
3,2,0.1,0.5025,0.0237
3,2,1.0,0.5730,0.0273
3,2,10.0,0.6035,0.0195
5,0,0.1,0.6005,0.0151
5,0,1.0,0.6165,0.0178
5,0,10.0,0.6150,0.0226
5,1,0.1,0.6000,0.0342
5,1,1.0,0.6220,0.0218
5,1,10.0,0.6325,0.0199
5,2,0.1,0.5965,0.0090
5,2,1.0,0.6065,0.0135
5,2,10.0,0.6345,0.0203
7,0,0.1,0.5840,0.0219
7,0,1.0,0.6385,0.0134
7,0,10.0,0.6350,0.0183
7,1,0.1,0.5950,0.0249
7,1,1.0,0.6395,0.0183
7,1,10.0,0.6350,0.0271
7,2,0.1,0.6000,0.0202
7,2,1.0,0.6345,0.0073
7,2,10.0,0.6220,0.0225
8,0,0.1,0.5750,0.0328
8,0,1.0,0.6480,0.0156
8,0,10.0,0.6530,0.0080
8,1,0.1,0.5855,0.0266
8,1,1.0,0.6515,0.0097
8,1,10.0,0.6495,0.0191
8,2,0.1,0.5950,0.0175
8,2,1.0,0.6500,0.0206
8,2,10.0,0.6475,0.0207
